id,Title,Content,Date,Categorieën,Tags
212,"Discussie | The Girl on the Train (spoilers)","Naast de spoiler vrije review van The Girl on the Train gaan we in deze podcast uitgebreid <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Discussie-The-Girl-on-the-Train.mp3"">discussiëren</a> over het plot van de film.",20161015,Discussie,podcast
219,"Review | Inferno","Vandaag <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Inferno-review.mp3"">bespreken </a>Sander, Merel &amp; Henk, wederom zonder spoilers, de nieuwste Dan Brown boekverfilming met Tom Hanks in de hoofrol.",20161019,Reviews,podcast
223,"Discussie | Inferno (spoilers)","Pas op voor spoilers! In dit vervolg op de review van Inferno <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Discussie-Inferno.mp3"">geven we onze ongezouten mening</a> over het plot van de nieuwe Ron Howard film!",20161019,Discussie,podcast
230,"Stelling | Pixar maakt geen toffe films meer!","Vandaag beginnen Pim, Henk &amp; Sander met onze nieuwe rubriek; <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Stelling_Pixar_Podcast.mp3"">De Stelling</a>. De eerste stelling komt van Henk, namelijk: Pixar maakt geen toffe films meer!",20161022,Stelling,podcast
235,"Review | Jack Reacher: Never Go Back","In deze podcast <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Review-Jack-Reacher.mp3"">bespreken </a>Sander, Pim en Henk Jack Reacher: Never Go Back, geheel zonder spoilers!",20161026,Reviews,podcast
237,"Discussie | Jack Reacher: Never Go Back (spoilers!)","In deze podcast gaan we het uitgebreid <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Discussie-Jack-Reacher.mp3"">hebben </a>over de nieuwste film uit de Jack Reacher franchise. Inclusief sappige plot details. Verwacht dus dikke spoilers!",20161026,Discussie,podcast
242,"Review | Doctor Strange","Sander, Pim en Henk <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Podcast-Doctor-Strange-review.mp3"">bespreken </a>de nieuwe Marvel blockbuster; Doctor Strange! Wederom geheel zonder spoilers!",20161029,Reviews,podcast
244,"Discussie | Doctor Strange (spoilers!)","Sander, Pim en Henk <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Podcast-Doctor-Strange-uitgebreide-review.mp3"">bespreken </a>uitgebreid de nieuwe Marvel film: Doctor Strange! Pas op, deze podcast bevat spoilers!
Mocht je de film nog niet gezien hebben dan raden we onze normale review aan :)",20161029,Discussie,podcast
249,"Special | Bioscopen in Arnhem (voor UIT in Arnhem)","De Filmerds schreven in opdracht voor UIT in Arnhem een artikel over de drie belangrijkste bioscopen in Arnhem. De Pathé, Stadsbioscoop Rembrandt &amp; Focus Filmtheater. Deze podcast is een aanvulling op dit artikel waarin we uitgebreid <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Podcast-UIT-in-Arnhem-Bioscoop-review-special.mp3"">bespreken</a> wat iedere bioscoop te bieden heeft!",20161102,Special,podcast
252,"Statafel | Welk filmkarakter ben ik?","In deze aflevering van de statafel <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Statafel-Wie-ben-ik.mp3"">strijden </a>de teams Duo Penotti (Henk &amp; Gina) tegen The Great Depression (Pim &amp; Sander) met het nieuwe spel: Welk filmkarakter ben ik!",20161105,Statafel,podcast
257,"Review | The Accountant","In deze podcast <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Podcast-The-Accountant.mp3"">bespreken</a> Sander, Pim en Henk een nieuwe actiefilm met Ben Affleck en Anna Kendrick; The Accountant, zonder spoilers!",20161109,Reviews,podcast
259,"Discussie | The Accountant (spoilers!)","In deze podcast gaan Sander, Pim en Henk <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Podcast-The-Accountant-Uitgebreid.mp3"">uitgebreid</a> in op The Accountant. Met spoilers, voor als je de film nog niet gezien hebt!",20161109,Discussie,podcast
263,"Praattafel #08 | Westworld, The Crown, Sausage Party & meer!","In deze lange aflevering van De Praattafel <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Praattafel08_audiopodcast_1_1.mp3"">bespreken</a> Pim, Henk &amp; Sander Westworld, The Crown, Sausage Party &amp; meer!",20161112,"De Praattafel",podcast
269,"Review | Tonio","Helaas zijn we de video files van deze review door een technmisch mankement verloren. Vandaar dat we de audioversie vandaag releasen als 'extra'tje'.

Vandaag <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Review-Tonio.mp3"">bespreken</a> Pim, Henk &amp; Sander de nederlandse oscar inzending gemaakt door Paula van der Oest: Tonio. Met in de hoofdrol Pierre Bokma!",20161114,Reviews,podcast
271,"Discussie | Tonio (spoilers)","Ook voor deze aflevering geldt: geen videobeelden!

In deze podcast gaan Pim, Sander &amp; Henk <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Discussie_Tonio.mp3"">uitgebreid in</a> op het plot van Tonio. Pas dus op voor spoilers als je de film nog niet gezien hebt!",20161114,Discussie,podcast
276,"Review | Arrival","Vandaag <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Podcast-Arrival.mp3"">bespreken</a> Pim, Sander &amp; Henk de nieuwe sci-fi film van Denis Villeneuve Arrival. Geheel zonder spoilers!",20161116,Reviews,podcast
278,"Discussie | Arrival (spoilers!)","In deze podcast gaan Pim, Henk &amp; Sander het <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Podcast-Arrival-uitgebreide-review.mp3"">uitgebreid hebben</a> over het verhaal van Arrival, met in de hoofdrol Amy Adams en Jeremy Renner!",20161116,Discussie,podcast
282,"Review | Fantastic Beasts and Where to Find Them (geen spoilers!)","Het is zo ver! J.K. Rowling en David Yates zijn terug met een nieuw avontuur in de Wizarding World! In deze recensie <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Fantastic-Beasts-Review.mp3"">vertellen</a> Henk, Merel &amp; Sander uitgebreid wat ze er van vonden, zonder iets te spoilen!",20161119,Reviews,podcast
284,"Discussie | Fantastic Beasts and Where to Find Them (spoilers!)","Henk, Merel &amp; Sander gaan in <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Fantastic-Beasts-Discussie.mp3"">discussie</a> over het nieuwste deel van de Wizarding World saga!",20161119,Discussie,podcast
288,"Favorieten #04 | Regisseurs","Vandaag gaan Pim, Henk &amp; Sander <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Podcast-Favorieten-Regisseurs.mp3"">het eens hebben</a> over hun favoriete regisseurs. Disclaimer: we zijn vast een paar goede vergeten!",20161123,Favorieten,podcast
296,"Vooruitblik | December 2016 met Rogue One, Passengers & meer!","We hebben weer iets nieuws bedacht! Pim, Henk &amp; Sander <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Vooruitblik-December-2016.mp3"">lichten je in</a> over alle releases die je deze maand kan verwachten in je lokale bioscoop!

Deze maand komen onder anderen Rogue One: A Star Wars Story, Passengers &amp; La La Land langs!",20161130,Vooruitblik,podcast
298,"Terugblik | Westworld (Seizoen 1)","Het eerste seizoen van de nieuwe HBO serie Westworld zit er inmiddels al weer op! Een mooie gelegenheid voor Pim, Henk &amp; Sander om eens te <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Podcast-westworld.mp3"">bespreken</a> wat ze van deze nieuwe serie vinden!",20161207,Terugblik,podcast
300,"Stelling | Star Wars zal doodbloeden!","<a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Podcast-Stelling-Star-Wars.mp3"">Luister mee</a> terwijl er een vurige discussie ontstaat tussen Pim, Henk &amp; 'Star Wars fanboy' Sander over de volgende stelling: '<em>Disney blijft net zo lang Star Wars films maken totdat de franchise dood bloedt en geen geld meer oplevert</em>'.

In de volgende podcasts gaan we het uitgebreid hebben over Rogue One: A Star Wars Story!",20161214,Stelling,podcast
303,"Special | Gilmore Girls: A Year in the Life","Vandaag zijn er bij uitzondering eens drie dames (Merel, Missy &amp; Gina) aangeschoven. Een perfecte gelegenheid om de nieuwste Netflix revival te <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Special-Gilmore-Girls.mp3"">bespreken</a>; Gilmore Girls: A Year in the Life!

Geen paniek, volgende keer zijn Pim, Henk &amp; Sander gewoon terug!",20161203,Special,podcast
318,"Review | Vaiana (zonder spoilers)","Pim, Sander en Henk <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Podcast-Vaiana.mp3"">bespreken</a> Disney's Vaiana (ook wel: Moana) zonder spoilers! Dus als je de film nog niet gezien hebt kan je deze podcast met een gerust hart luisteren :)",20161210,Reviews,podcast
320,"Discussie | Vaiana (spoiler alert!)","Pim, Sander en Henk <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Podcast-Vaiana-Uitgebreide-review.mp3"">bespreken</a> uitgebreid Vaiana! Als je de film nog niet gezien hebt, kan je deze podcast beter skippen! :)",20161210,Discussie,podcast
324,"Review | Rogue One: A Star Wars Story (zonder spoilers)","Pim, Henk &amp; Star Wars Fanboy Sander geven (zonder spoilers) hun <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Podcast-Rogue-One-review.mp3"">mening </a>over de eerste Star Wars spin-off; Rogue One: A Star Wars Story. Geregisseerd door Gareth Edwards.",20161217,Reviews,podcast
330,"Discussie | Rogue One: A Star Wars Story (spoilers!)","Pim, Henk &amp; Sander <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Podcast-Rogue-One-uitgebreide-review.mp3"">discussieren </a>over de eerste Star Wars spin-off; Rogue One: A Star Wars Story!",20161217,Discussie,podcast
335,"Statafel | Pim vs. Sander | Raad de leeftijd!","Onder toezicht van Henk nemen Pim en Sander het weer eens tegen elkaar op in deze nieuwe <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Podcast-Statafel-13-hoe-oud-zijn-ze.mp3"">episode</a> van 'De Statafel'!",20161221,Statafel,podcast
339,"Favorieten #05 | Kerstfilms","Vandaag <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Podcast-kerstspecial2.mp3"">bespreken</a> Pim, Henk &amp; Sander hun favoriete kerstfilms hebben!

Fijne kerstdagen namens de Filmerds gang!",20161224,Favorieten,podcast
348,"Review | La La Land (zonder spoilers)","Henk, Sander &amp; 'in-house musical scepticus' Pim <a href=""https://s3.eu-central-1.amazonaws.com/filmerds-podcast-wp/wp-content/2016/Podcast-La-La-Land-review.mp3"">bespreken</a> deze ode aan musicalfilms uit de 50's en 60's van regisseur Damien Chazelle.",20161228,Reviews,podcast
